vt,datetime,weather,tstorm,fog,wind,wspd,gust,wdir,altt2m,d2m,h2mdisp,precpctdisp,precave,snowpctdisp,tstormpctdisp,mslp,h0,t850,mlcape,cldave,u10,v10
2019-10-09 02:00:00,2019-10-09 04:00:00,2.png,-,-,80.png,4,6,162,20.44,12.26,63,<1%,0,<1%,<1%,1018,4126,10,0,8.4,-1.38,4.14
2019-10-09 03:00:00,2019-10-09 05:00:00,2.png,-,-,80.png,4,6,162,20.44,12.26,63,<1%,0,<1%,<1%,1018,4126,10,0,8.4,-1.38,4.14
2019-10-09 04:00:00,2019-10-09 06:00:00,2.png,-,-,80.png,4,6,162,20.44,12.26,63,<1%,0,<1%,<1%,1018,4126,10,0,8.4,-1.38,4.14
2019-10-09 05:00:00,2019-10-09 07:00:00,2.png,-,-,80.png,4,6,162,20.44,12.26,63,<1%,0,<1%,<1%,1018,4126,10,0,8.4,-1.38,4.14
2019-10-09 06:00:00,2019-10-09 08:00:00,2.png,-,-,80.png,4,6,162,20.44,12.26,63,<1%,0,<1%,<1%,1018,4126,10,0,8.4,-1.38,4.14
2019-10-09 07:00:00,2019-10-09 09:00:00,2.png,-,-,80.png,4,6,162,20.44,12.26,63,<1%,0,<1%,<1%,1018,4126,10,0,8.4,-1.38,4.14
2019-10-09 08:00:00,2019-10-09 10:00:00,2.png,-,-,80.png,4,6,162,20.44,12.26,63,<1%,0,<1%,<1%,1018,4126,10,0,8.4,-1.38,4.14
2019-10-09 09:00:00,2019-10-09 11:00:00,2.png,-,-,80.png,4,6,162,20.44,12.26,63,<1%,0,<1%,<1%,1018,4126,10,0,8.4,-1.38,4.14
2019-10-09 10:00:00,2019-10-09 12:00:00,2.png,-,-,80.png,4,6,162,20.44,12.26,63,<1%,0,<1%,<1%,1018,4126,10,0,8.4,-1.38,4.14
2019-10-09 11:00:00,2019-10-09 13:00:00,2.png,-,-,80.png,4,6,162,20.44,12.26,63,<1%,0,<1%,<1%,1018,4126,10,0,8.4,-1.38,4.14
2019-10-09 12:00:00,2019-10-09 14:00:00,2.png,-,-,80.png,4,6,162,20.44,12.26,63,<1%,0,<1%,<1%,1018,4126,10,0,8.4,-1.38,4.14
2019-10-09 13:00:00,2019-10-09 15:00:00,2.png,-,-,80.png,4,6,162,20.44,12.26,63,<1%,0,<1%,<1%,1018,4126,10,0,8.4,-1.38,4.14
2019-10-09 14:00:00,2019-10-09 16:00:00,2.png,-,-,80.png,4,7,159,20.16,12.42,64,<1%,0,<1%,<1%,1018,4107,10,0,14.3,-1.62,4.12
2019-10-09 15:00:00,2019-10-09 17:00:00,2.png,-,-,80.png,4,7,159,19.6,12.74,65,<1%,0,<1%,<1%,1017,4082,10,0,13.6,-1.46,3.86
2019-10-09 16:00:00,2019-10-09 18:00:00,2.png,-,-,79.png,3,8,152,18.88,13.24,72,<1%,0,<1%,<1%,1016,4057,11,0,14.9,-1.6,2.98
2019-10-09 17:00:00,2019-10-09 19:00:00,33.png,-,-,79.png,3,9,148,18.2,13.92,79,<1%,0,<1%,<1%,1017,4042,11,0,11.9,-1.56,2.46
2019-10-09 18:00:00,2019-10-09 20:00:00,33.png,-,-,79.png,3,9,136,17.66,14.26,83,<1%,0,<1%,<1%,1017,3981,11,0,14.7,-1.96,2
2019-10-09 19:00:00,2019-10-09 21:00:00,33.png,-,-,78.png,2,7,111,17.24,14.02,86,<1%,0,<1%,<1%,1017,3904,11,2,16.4,-2.26,0.86
2019-10-09 20:00:00,2019-10-09 22:00:00,34.png,-,-,78.png,3,6,101,17.1,14.16,85,<1%,0,<1%,<1%,1016,3774,10,7,33.8,-2.54,0.48
2019-10-09 21:00:00,2019-10-09 23:00:00,35.png,-,-,78.png,3,6,99,17.06,13.76,85,1%,0,<1%,<1%,1017,3663,10,20,63.1,-2.72,0.42
2019-10-09 22:00:00,2019-10-10 00:00:00,35.png,-,-,78.png,3,6,96,17.16,14.02,84,3%,0,<1%,<1%,1017,3582,10,35,72.5,-2.52,0.28
2019-10-09 23:00:00,2019-10-10 01:00:00,35.png,-,-,66.png,2,6,98,17.14,14.1,87,7%,0,<1%,<1%,1016,3535,9,52,77.4,-2.26,0.3
2019-10-10 00:00:00,2019-10-10 02:00:00,35.png,-,-,66.png,2,5,107,17.2,14.36,87,11%,0,<1%,<1%,1016,3491,9,51,77.2,-1.88,0.58
2019-10-10 01:00:00,2019-10-10 03:00:00,102.png,-,-,66.png,1,3,99,17.125,15.3,86,43%,0,<1%,<1%,1016,3439,9,35,94.7,-1.275,0.2
2019-10-10 02:00:00,2019-10-10 04:00:00,102.png,-,-,67.png,1,3,120,17.225,15,87,49%,0,<1%,<1%,1016,3394,9,8,96,-0.95,0.55
2019-10-10 03:00:00,2019-10-10 05:00:00,23.png,-,-,66.png,1,2,101,17.3,14.925,87,57%,0.2,<1%,1%,1016,3373,9,13,94.1,-0.9,0.175
2019-10-10 04:00:00,2019-10-10 06:00:00,102.png,-,-,66.png,1,3,91,17.3,14.975,87,55%,0,<1%,1%,1016,3344,9,23,94.4,-1.4,0.025
2019-10-10 05:00:00,2019-10-10 07:00:00,102.png,-,-,66.png,1,3,81,17.35,15.05,87,55%,0,<1%,1%,1016,3333,9,30,85.8,-1.425,-0.225
2019-10-10 06:00:00,2019-10-10 08:00:00,4.png,-,-,66.png,2,3,96,17.575,14.7,85,31%,0,<1%,<1%,1016,3276,10,28,74.6,-1.65,0.175
2019-10-10 07:00:00,2019-10-10 09:00:00,4.png,-,-,67.png,2,3,114,18.1,14.8,83,39%,0,<1%,1%,1016,3264,9,23,70.6,-1.9,0.833333333333
2019-10-10 08:00:00,2019-10-10 10:00:00,4.png,-,-,68.png,1,3,160,19.0666666667,15.4,78,33%,0,<1%,<1%,1016,3181,9,43,62.2,-0.433333333333,1.2
2019-10-10 09:00:00,2019-10-10 11:00:00,4.png,-,-,69.png,1,6,215,20.1,15.3,76,32%,0,<1%,1%,1017,3315,9,117,52.1,0.8,1.13333333333
2019-10-10 10:00:00,2019-10-10 12:00:00,3.png,-,-,82.png,3,6,256,20.8,15.0666666667,75,25%,0,<1%,1%,1017,3318,9,100,37,2.9,0.733333333333
2019-10-10 11:00:00,2019-10-10 13:00:00,3.png,-,-,82.png,4,6,267,21.1333333333,14.9333333333,74,37%,0,<1%,1%,1016,3303,9,97,25,3.73333333333,0.166666666667
2019-10-10 12:00:00,2019-10-10 14:00:00,2.png,-,-,82.png,4,5,271,21.2333333333,15.1,76,30%,0,<1%,1%,1016,3298,9,133,11,3.73333333333,-0.0333333333333
2019-10-10 13:00:00,2019-10-10 15:00:00,2.png,-,-,70.png,3,4,280,21.0666666667,14.6,77,34%,0,<1%,1%,1016,3294,9,117,9.2,3.1,-0.566666666667
2019-10-10 14:00:00,2019-10-10 16:00:00,2.png,-,-,71.png,3,4,299,20.8333333333,14.6666666667,78,15%,0,<1%,<1%,1016,3269,9,77,20.9,2.43333333333,-1.33333333333
2019-10-10 15:00:00,2019-10-10 17:00:00,2.png,-,-,71.png,2,3,319,20.3,14.2666666667,79,5%,0,<1%,<1%,1016,3263,9,67,19.5,1.6,-1.83333333333
2019-10-10 16:00:00,2019-10-10 18:00:00,2.png,-,-,71.png,2,3,334,19.6333333333,14.2333333333,81,5%,0,<1%,<1%,1017,3221,9,70,9.7,0.833333333333,-1.73333333333
2019-10-10 17:00:00,2019-10-10 19:00:00,33.png,-,-,77.png,1,3,3,18.8333333333,14.3666666667,87,<1%,0,<1%,<1%,1018,3218,9,80,6.2,-0.0666666666667,-1.23333333333
2019-10-10 18:00:00,2019-10-10 20:00:00,33.png,-,-,65.png,1,3,24,18.1666666667,14.1666666667,90,<1%,0,<1%,<1%,1018,3221,9,67,10.5,-0.566666666667,-1.3
2019-10-10 19:00:00,2019-10-10 21:00:00,33.png,-,-,65.png,1,3,27,17.5,13.6333333333,90,<1%,0,<1%,<1%,1019,3252,9,33,3.1,-0.566666666667,-1.13333333333
2019-10-10 20:00:00,2019-10-10 22:00:00,33.png,-,-,65.png,2,2,54,16.9666666667,12.6,85,<1%,0,<1%,<1%,1019,3293,9,0,1.4,-1.4,-1.03333333333
2019-10-10 21:00:00,2019-10-10 23:00:00,33.png,-,-,65.png,2,5,63,16.3333333333,10.9666666667,83,<1%,0,<1%,<1%,1020,3312,9,0,0.1,-1.73333333333,-0.9
2019-10-10 22:00:00,2019-10-11 00:00:00,33.png,-,-,66.png,2,5,75,16,9.9,76,<1%,0,<1%,<1%,1021,3323,9,0,0,-1.73333333333,-0.466666666667
2019-10-10 23:00:00,2019-10-11 01:00:00,32.png,-,-,66.png,2,5,90,15.8333333333,9.06666666667,71,<1%,0,<1%,<1%,1021,3300,9,0,0,-1.53333333333,0
